Year,Day,day-grid-trap_code,grid-trap-date_code,Handler,capture info,obs?,drop,TagNo,BloodNo,RNA Seq,SNV pos,SNV titer,Treated or control,Treatment,Effective treatment,days since previous treatment/ctl,overwinter survivor,Grid,Trap Location,Species,Tail to body,Sex,Age,Class,Vagina,Nipples,Pregnant,F-Repro?,Testes,M-Repro?,Body,Total length,Tail,Length code,Weight (g),Fleas,Ticks,Botflies,Ecto PA,Ecto Spp Rich,Fecal Sample Weight,Poo Weight,Poo Weight 2,FEC done by,new FEC 2019,FEC 0s,Endo PA,Endo Spp Rich,Endo Total Egg/g,Coccidia PA,Coccidia Spp Rich,Cocc Egg/g,Edel PA,Edel Egg Count,Edel Egg/g,EarizA PA,EarizA Egg Count,EarizA Egg/g,EarizB PA,EarizB Egg Count,EarizB Egg/g,Nem PA,Nem Spp Rich,Nem Egg/g,Nem PA no larvae,Nem rich no larvae,Nem egg/g no larvae,Aamer PA,Aamer Egg Count,Aamer Egg/g,Spero PA,SperoEgg Count,SperoEgg/g,Camer PA,Camer Egg Count,Camer Egg/g,NemA PA,NemA Egg Count,NemA Egg/g,NemB PA,NemB Egg Count,NemB Egg/g,CapBub PA,CapBub Egg Count,CapBub Egg/g,Nem Larvae PA,Nem Larvae Count,Nem Larvae/g,CapWorm PA,CapWorm Egg Count,CapWorm Egg/g,Strongy PA,Strongy Egg Count,Strongy Egg/g,Cestode PA,Cestode Spp Rich,Cestode egg count,Cestode Egg/g,Hdim PA,Hdim Egg Count,Hdim Egg/g,Hcit PA,Hcit Egg Count,Hcit Egg/g,CestC PA,CestC Egg Count,CestC Egg/g,RNA seq,Zymo feces,Feces DNA label,Lympho,pct lympho,Neutro,pct neutro,Mono,pct mono,Baso,pct baso,Eosino,pct eosin,Total WBC,Eye spots
2016,20-Jun,933-42541,BC1-H1-42541,CT,cap,,0,933,1399,0,0,0,C,C,0,,,BC1,H1,PL,0.880434783,M,A,3,,,,,N,N,92,173,81,,27,0,0,0,0,0,1.655,0.188,0.188,IN,,,1,,4148.93617,1,,4148.93617,1,119,632.9787234,1,655,3484.042553,1,6,31.91489362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,7-Jun,934-42528,BC1-B3-42528,CT,cap,,0,934,1418,0,0,0,C,C,0,,,BC1,B3,PL,0.876712329,F,J,1,C,N,N,N,,,73,137,64,,12.5,0,0,0,0,0,,0.133,0.133,AT2016,,,1,,8511.278195,1,,8511.278195,1,7,52.63157895,1,1125,8458.646617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,20-Jun,934-42541,BC1-D1-42541,CT,cap,blood at recap,0,934,1402 recap with blood,0,0,0,C,C,0,13,,BC1,D1,PL,0.886075949,F,SA,2.6,C,N,N,N,,,79,149,70,,16.5,0,1,0,1,1,,0.169,0.169,AT2016,,,1,2,284.0236686,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,2,,284.0236686,1,44,260.3550296,1,4,23.66863905,0,0,0,#N/A,,,,,,,,,,,,,,
2016,6-Jul,934-42557,BC1-G1-42557,CT,cap,,0,934,1453,0,0,0,C,C,0,16,,BC1,G1,PL,0.848837209,F,A,3,O,N,N,Y,,,86,159,73,,17.5,0,0,0,0,0,,0.469,0.469,AT2016,,,1,6,326.2260128,1,3,304.9040512,1,26,55.43710021,1,112,238.8059701,1,5,10.66098081,1,1,2.132196162,1,1,2.132196162,0,0,0,0,0,0,1,1,2.132196162,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,2,,19.18976546,1,8,17.0575693,1,1,2.132196162,0,0,0,#N/A,1,sample.25,,,,,,,,,,,,
2016,19-Jul,934-42570,BC1-H1-42570,CT,cap,,0,934,1493,0,0,0,C,C,0,13,,BC1,H1,PL,0.787234043,F,A,3,O,N,N,Y,,,94,168,74,,17.5,1,0,0,1,1,1.705,0.228,0.228,JH,,,1,2,245.6140351,1,1,8.771929825,0,0,0,1,2,8.771929825,0,0,0,1,1,236.8421053,1,1,236.8421053,0,0,0,0,0,0,1,54,236.8421053,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,1,sample.26,,,,,,,,,,,,
2016,7-Jun,935-42528,BC1-B5-42528,CT,cap,,0,935,1426,0,0,0,C,C,0,,,BC1,B5,PL,0.988235294,F,A,3,O,Y,N,Y,,,85,169,84,,18,0,0,0,0,0,1.745,0.268,0.268,IN,,,1,,279.8507463,1,,279.8507463,1,30,111.9402985,1,39,145.5223881,1,6,22.3880597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,20-Jun,935-42541,BC1-A8-42541,CT,cap,,0,935,1396,0,0,0,C,C,0,13,,BC1,A8,PL,0.891304348,F,A,3,C,Y,N,Y,,,92,174,82,,21.5,0,0,0,0,0,,0.207,0.207,AT2016,,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,7-Jul,935-42558,BC1-A4-42558,CT,cap,,0,935,1458,0,0,0,C,C,0,17,,BC1,A4,PL,0.988372093,F,A,3,C,Y,N,Y,,,86,171,85,,20,0,0,0,0,0,2.04,0.563,0.563,IN,,,1,2,12.43339254,1,1,3.552397869,0,0,0,1,2,3.552397869,0,0,0,1,1,8.880994671,1,1,8.880994671,0,0,0,0,0,0,1,5,8.880994671,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,1,sample.27,,,,,,,,,,,,
2016,7-Jun,936-42528,BC1-C2-42528,CT,cap,,0,936,1419,0,0,0,C,C,0,,,BC1,C2,PL,0.853658537,F,SA,2.6,C,N,N,N,,,82,152,70,,14.5,0,0,0,0,0,,0.143,0.143,AT2016,,,1,,15363.63636,1,,15363.63636,1,30,209.7902098,1,2164,15132.86713,1,3,20.97902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,20-Jun,936-42541,BC1-G7-42541,CT,cap,,0,936,1398,0,0,0,C,C,0,13,,BC1,G7,PL,0.811764706,F,A,3,O,N,N,Y,,,85,154,69,,18,0,0,0,0,0,,0.176,0.176,AT2016,,,1,2,340.9090909,1,,340.9090909,1,3,17.04545455,,57,323.8636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
